key_length,time_taken
16,0.004031100000000065
17,0.007593900000000042
18,0.008557499999999996
19,0.012621199999999999
20,0.014914700000000058
21,0.020087999999999995
22,0.027968500000000063
23,0.04183709999999996
24,0.05912840000000008
25,0.07566239999999991
26,0.10512890000000019
27,0.13970689999999997
28,0.2290578000000001
29,0.3711765
30,0.5217229999999999
31,0.9912556000000001
32,1.7819812000000002
33,2.5934726
34,2.9858169000000006
35,5.310803999999999
36,7.752318500000001
37,10.948036499999997
38,15.9074192
39,21.688107600000002
40,36.1364669
41,48.117098600000006
42,65.07151809999999
43,108.70130339999997
44,146.8960396
45,211.96654260000003
46,317.53847199999996
47,458.3581683
48,579.5883858
49,1032.4703679999998
50,1477.9676504999998
51,1919.4281249999995
52,2458.4602847999995
